1.#QNAN		1.#QNAN
920531		916843
920526		902799
932564		966538
919172		904231
919390		898967
921295		911604
919908		910708
920858		916516
921646		915957
919670		910340
920191		912531
920617		912345
919839		912682
920253		912815
920619		912955
920118		912667
913985		902320
924847		917961
922141		922139
920262		912797
920721		914563
913671		809242
917887		901326
909250		878765
921812		918158
920358		910691
919608		910429
920566		914497
919550		917272
924518		934483
920734		914658
919508		912203
920206		913856
920115		912550
920209		909770
920947		915286
921029		915762
921015		915568
920523		914560
921596		917307
920666		915309
893201		833011
920543		914213
922480		921881
920456		919379
921320		915527
917700		907586
919982		901261
921336		912675
911469		875099
924001		919317
919995		914009
921685		917784
921703		916041
921949		920823
920342		914911
1.27999e+006		2.10812e+006
921589		910526
917853		907837
920991		915081
920703		914043
921499		917496
875627		800567
920736		914500
917660		908901
920418		915292
919884		913356
921739		917596
922464		919362
918946		911837
919221		913460
914070		909277
919649		917255
920951		916529
923427		925807
916309		912974
920356		913275
921952		917292
925166		927545
918792		910876
917065		902264
920221		913787
920662		914683
922598		923361
920155		915427
918929		940004
921802		915603
921600		920729
903964		858085
936547		964816
919956		913586
920699		916849
1.01305e+006		1.13656e+006
925418		928663
937309		993946
919616		910231
919997		915863
919910		908309
920382		913335
921271		915560
921291		915231
921022		914821
921246		917230
931944		961384
920476		916163
919985		916924
913266		909396
920806		917604
926272		935753
920468		914329
921050		915529
929965		925641
917992		910299
919495		912618
905060		925039
918278		913509
917741		908342
924569		924570
921389		917525
921402		917570
919435		914835
925480		932809
918571		913257
919696		908154
919381		913229
919270		912048
920286		914591
926733		928692
919005		912951
911884		858025
920433		910476
920625		914620
920862		915834
921555		919480
920088		916828
920965		916502
830351		698340
918778		915156
920360		915781
919987		909563
920170		915155
904253		893898
924738		913101
919929		947764
921500		916017
921802		920266
918721		911876
928832		993038
920561		909033
921702		913247
921551		913960
922305		918204
920025		912716
920540		914189
920660		914791
920642		912406
919255		913680
920150		914209
920880		915202
918891		916796
919707		908591
920293		911695
920513		915229
922942		919984
921661		910712
920707		914662
921893		921038
920349		913450
920832		914940
922314		912765
918481		904830
918864		907742
919650		911717
924097		923193
918513		910660
914147		895310
918490		907763
919269		910645
897760		878047
917864		911690
919222		914548
918228		910691
919246		914408
919072		916266
921204		913534
921303		915516
915318		899477
919728		913817
913679		895923
910934		887202
920158		911394
920746		913694
927816		922758
916213		907334
917540		910421
920145		908942
920715		915845
920580		915295
920661		915916
939833		933958
916778		898339
919375		911947
919781		912993
920304		912694
927853		934647
939003		1.03942e+006
914790		879479
920756		920729
913618		902576
921200		914554
924874		909816
922468		915042
924514		919347
917584		910649
918942		911292
919241		912714
919257		914059
923991		938976
919737		912481
920641		915453
918908		922527
911984		889152
888742		889454
915399		911198
922067		917539
926841		915247
925864		921867
943206		941247
883395		883949
918272		914707
920664		913715
921616		919475
925136		921603
922408		917715
920454		916158
920719		917412
916686		910061
920507		912263
920553		914199
931475		927943
910606		894468
914417		910019
920271		912322
921031		917053
921658		911512
921217		917296
921347		917571
921449		912378
920516		916031
946108		936781
929892		943541
941686		1.01147e+006
914074		899572
919848		912384
921522		918815
924972		932751
919917		911765
919278		905146
924477		935857
919214		911192
921025		911095
917065		908461
918738		908411
918701		914773
918681		916990
764584		1.92944e+006
921109		917343
916895		896385
921886		918501
922932		921669
925003		928137
913685		904073
920743		911574
924649		919049
921369		914810
922531		917081
917198		903369
923097		917820
903067		867287
883191		889300
919067		914069
922454		917198
918079		911909
912953		903462
934120		959677
906225		890856
905697		871750
919682		914909
920565		921265
920598		916464
921031		919651
920607		912262
918559		912005
923122		933534
918843		915538
926494		945633
913456		905881
920958		916404
919262		912117
916873		912496
919536		912506
920888		912624
918571		913069
924963		932625
921295		917931
921197		917414
921656		916559
922190		920734
917949		906374
918021		906903
919627		913736
921227		917259
917255		900285
917910		919822
919283		913838
919209		912889
920025		919456
921638		914258
1.1725e+006		1.27859e+006
845947		826762
917289		899746
934199		926974
920301		913656
912866		893617
916783		904156
916060		900081
918337		906461
917266		905086
910287		904093
920098		914019
919962		913633
920480		915148
921966		917051
926194		928759
920626		913184
901876		908148
894627		908473
921900		915799
921389		915929
920245		915860
921840		916684
922626		916762
918349		917049
919328		911087
921086		916713
921351		916404
923038		919726
923573		920770
924976		923244
920341		917229
920663		917839
919968		915083
920247		916761
920983		909382
919573		917429
920191		913997
920816		919727
925448		905441
919835		918460
920845		915652
920960		914114
923097		909506
919213		915617
931373		891776
921666		908902
917792		880105
915698		908637
921057		917502
921888		921216
917324		897126
920357		914189
919779		914456
918571		888678
932648		944591
918646		910255
919359		912249
922724		922202
921517		917299
921415		901537
920465		913716
920954		914886
921286		915824
939395		945148
921864		918568
920116		911447
920090		914590
920300		915302
920224		915654
918994		906119
920652		914185
920296		917498
921410		916817
921394		916715
928141		922367
928133		933725
920745		918917
921727		921396
926509		940100
923666		927597
949643		1.01006e+006
921559		913693
915035		907322
920394		915156
921156		922578
921365		924267
929545		995927
920615		913464
919528		918783
935365		923413
909106		900113
913177		905215
921389		915677
921263		917349
917803		911392
1.04097e+006		1.17185e+006
916027		901828
916513		907244
921034		910765
920183		912017
921316		950700
942498		989315
923386		899627
917242		908699
920004		913256
922749		916385
920643		913104
920255		914528
920713		916376
918053		904187
921532		921099
915709		919297
922263		920182
915852		926478
918512		910996
919121		915682
919932		918988
920238		916974
881780		786654
919967		897398
914014		911023
921469		919550
919561		915873
927754		935875
919506		915620
920122		915094
919989		910910
911350		816846
920104		912413
922049		918705
918734		911352
919921		913609
931730		1.02217e+006
921086		919853
921609		914914
915953		899112
920024		913690
920664		910121
922747		918171
924316		919435
914870		909988
918896		915660
908933		860364
920918		917902
922259		920819
919470		916909
919222		918981
920352		916886
922821		924489
922920		927352
920551		916538
925068		930788
919975		920096
920658		916861
921269		917654
